id,form,alt_forms,gloss,origin,domain,connector_pref,examples,weight,root_lang,proto_root,ety_desc,ety_lineage,semantic_field,sources
root_a,a-,,Used to form taxonomic names indicating a lack of some feature that might be expected,grec,morpheme,,,1.0,grc,,"From the Ancient Greek ἀ- (a-, “not, without”).",translingue < grec,morpheme,wiktionary:fr::a-#prefix
root_mega,mega-,,"Used with taxon names to form other taxon names, usually for a morphologically similar taxon differing only in size",grec,morpheme,,,1.0,grc,,"From Ancient Greek μέγας (mégas, “great, large, mighty”).",translingue < grec,morpheme,wiktionary:fr::mega-#prefix
root_micro,micro-,,Very small.; One millionth.,grec,morpheme,o,,1.0,grc,,"From New Latin micro- (“small”), from Ancient Greek μικρός (mikrós, “small”).",translingue < NL. < grec,morpheme,wiktionary:fr::micro-#prefix
root_hexa,hexa-,hex-,six,grec,morpheme,,,1.0,grc,,"From Latin hexa-, from Ancient Greek ἑξα- (hexa-), from ἕξ (héx, “six”).",translingue < latin < grec,morpheme,wiktionary:fr::hexa-#prefix
root_tetra,tetra-,,four,grec,morpheme,,,1.0,grc,,From Ancient Greek τετρα- (tetra-).,translingue < grec,morpheme,wiktionary:fr::tetra-#prefix
root_hetero,hetero-,,"Different, dissimilar, other.",grec,morpheme,o,,1.0,grc,,Borrowed from Ancient Greek ἕτερος (héteros).,translingue < grec,morpheme,wiktionary:fr::hetero-#prefix
root_neo,neo-,,new. (Often used to form clade or taxonomic names indicating more recent branching than a morphologically or otherwise similar group.),grec,morpheme,o,Neoceti; Neognathae; Neoptera; Neopterygii; Neornithes,1.0,grc,,"From Ancient Greek νέος (néos, “new, young”).",translingue < grec,morpheme,wiktionary:fr::neo-#prefix
root_ulus,-ulus,,"used to form genus names, especially from other genus names, indicating smaller size",latin,"morpheme,natural-sciences,science,taxonomy",,,1.0,la,,From Latin -ulus (diminutive suffix).,translingue < latin,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-ulus#suffix
root_a2,-a,,Used to create genus names from proper nouns; Used to take the form of certain plural Latin-derived taxonomic names,latin,morpheme,,,1.0,la,,From Latin -a.,translingue < latin,morpheme,wiktionary:fr::-a#suffix
root_xeno,xeno-,,Used to form taxonomic names and epithets indicating strangeness,grec,morpheme,o,,1.0,grc,,"From Ancient Greek ξένος (xénos, “alien”).",translingue < grec,morpheme,wiktionary:fr::xeno-#prefix
